group,outcome,bucket,n,expected_pct,actual_pct,diff_pp,ci_lo_pct,ci_hi_pct,significant
SWE,H,0.55-0.60,297,57.256467612089835,58.92255892255892,1.6660913104690867,53.248033119103845,64.3692113045397,False
SWE,H,0.60-0.65,257,62.24740855207245,65.75875486381322,3.5113463117407817,59.763358938870816,71.28996997798906,False
SWE,H,0.65-0.70,206,67.38485892508743,68.93203883495146,1.547179909864027,62.3143790723665,74.85651554528796,False
SWE,H,0.70-0.75,141,72.38163981628205,77.30496453900709,4.923324722725042,69.72094758068587,83.4405750757885,False
SWE,H,0.75-0.80,64,77.23730878681828,81.25,4.012691213181718,70.02540844522483,88.9354651190779,False
SWE,H,0.80-1.00,25,82.74373597976862,88.0,5.256264020231383,70.04380781662651,95.83325864293191,False
SWZ,H,0.30-0.35,303,32.60718993749632,31.02310231023102,-1.5840876272653015,26.07925000239578,36.44212910656467,False
SWZ,H,0.35-0.40,320,37.56535567857227,41.25,3.6846443214277325,35.991054101354536,46.7165412168504,False
SWZ,H,0.40-0.45,396,42.285341258000074,41.16161616161616,-1.1237250963839152,36.42199328173083,46.07107397290199,False
SWZ,H,0.45-0.50,350,47.490053678693016,43.42857142857143,-4.06148225012159,38.33480836134201,48.66502433215699,False
SWZ,H,0.50-0.55,293,52.35733260439481,58.36177474402731,6.004442139632493,52.64456735937247,63.86255293643514,True
SWZ,H,0.55-0.60,204,57.54614541688352,53.92156862745098,-3.624576789432543,47.071971311764486,60.62619883319205,False
SWZ,H,0.60-0.65,154,62.387165343310045,61.68831168831169,-0.6988536549983548,53.81425836425444,68.99341717882166,False
SWZ,H,0.65-0.70,108,67.40536315725228,70.37037037037037,2.965007213118087,61.17903377430295,78.16232042663839,False
SWZ,H,0.70-0.75,73,72.26441503619475,73.97260273972603,1.708187703531272,62.89029493194099,82.65794976884607,False
SWZ,H,0.75-0.80,27,76.87803981784678,85.18518518518519,8.307145367338409,67.52093665317051,94.08416814035512,False
SWZ,H,0.80-1.00,5,81.15918658197891,100.0,18.840813418021085,56.550850524791905,100.0,False
T1,H,0.30-0.35,483,32.64755868816878,31.05590062111801,-1.5916580670507663,27.09228032293552,35.31849147635196,False
T1,H,0.35-0.40,667,37.734401867436894,41.97901049475262,4.244608627315727,38.28996896821021,45.75991702574125,True
T1,H,0.40-0.45,756,42.44743397567976,45.370370370370374,2.9229363946906117,41.85376816961484,48.933785446823116,False
