season,league,file,n_columns,time,avg_h,max_h,b365_h,ps_h,bfe_h,avgc_h,psc_h,avg_o25,b365_o25,p_o25,avgc_o25,ah_line,avg_ahh,avgc_ahh,btts_odds,xg_post_match
1819,SP2,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1819,I2,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1819,D2,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1819,F2,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1920,E0,ok,106,Time,AvgH,MaxH,B365H,PSH,,AvgCH,PSCH,Avg>2.5,B365>2.5,P>2.5,AvgC>2.5,AHh,AvgAHH,AvgCAHH,,
1920,E1,ok,106,Time,AvgH,MaxH,B365H,PSH,,AvgCH,PSCH,Avg>2.5,B365>2.5,P>2.5,AvgC>2.5,AHh,AvgAHH,AvgCAHH,,
1920,SP1,ok,105,Time,AvgH,MaxH,B365H,PSH,,AvgCH,PSCH,Avg>2.5,B365>2.5,P>2.5,AvgC>2.5,AHh,AvgAHH,AvgCAHH,,
1920,I1,ok,105,Time,AvgH,MaxH,B365H,PSH,,AvgCH,PSCH,Avg>2.5,B365>2.5,P>2.5,AvgC>2.5,AHh,AvgAHH,AvgCAHH,,
1920,D1,ok,105,Time,AvgH,MaxH,B365H,PSH,,AvgCH,PSCH,Avg>2.5,B365>2.5,P>2.5,AvgC>2.5,AHh,AvgAHH,AvgCAHH,,
1920,F1,ok,105,Time,AvgH,MaxH,B365H,PSH,,AvgCH,PSCH,Avg>2.5,B365>2.5,P>2.5,AvgC>2.5,AHh,AvgAHH,AvgCAHH,,
1920,N1,ok,105,Time,AvgH,MaxH,B365H,PSH,,AvgCH,PSCH,Avg>2.5,B365>2.5,P>2.5,AvgC>2.5,AHh,AvgAHH,AvgCAHH,,
1920,P1,ok,105,Time,AvgH,MaxH,B365H,PSH,,AvgCH,PSCH,Avg>2.5,B365>2.5,P>2.5,AvgC>2.5,AHh,AvgAHH,AvgCAHH,,
1920,B1,ok,105,Time,AvgH,MaxH,B365H,PSH,,AvgCH,PSCH,Avg>2.5,B365>2.5,P>2.5,AvgC>2.5,AHh,AvgAHH,AvgCAHH,,
1920,T1,ok,105,Time,AvgH,MaxH,B365H,PSH,,AvgCH,PSCH,Avg>2.5,B365>2.5,P>2.5,AvgC>2.5,AHh,AvgAHH,AvgCAHH,,
1920,G1,ok,105,Time,AvgH,MaxH,B365H,PSH,,AvgCH,PSCH,Avg>2.5,B365>2.5,P>2.5,AvgC>2.5,AHh,AvgAHH,AvgCAHH,,
1920,SC0,ok,106,Time,AvgH,MaxH,B365H,PSH,,AvgCH,PSCH,Avg>2.5,B365>2.5,P>2.5,AvgC>2.5,AHh,AvgAHH,AvgCAHH,,
1920,SP2,ok,105,Time,AvgH,MaxH,B365H,PSH,,AvgCH,PSCH,Avg>2.5,B365>2.5,P>2.5,AvgC>2.5,AHh,AvgAHH,AvgCAHH,,
1920,I2,ok,105,Time,AvgH,MaxH,B365H,PSH,,AvgCH,PSCH,Avg>2.5,B365>2.5,P>2.5,AvgC>2.5,AHh,AvgAHH,AvgCAHH,,
